id,task_type,input_text,question,reference_answer,constraints,domain
1,summary,"Artificial intelligence (AI) is a field of computer science that aims to create systems capable of performing tasks that normally require human intelligence, such as reasoning, learning, and problem-solving.",Summarize this paragraph in two sentences.,AI is a branch of computer science focused on creating intelligent systems capable of human-like reasoning and learning.,Maximum 2 sentences,technology
2,definition,"Machine learning is a subset of artificial intelligence that uses algorithms to analyze data, learn from it, and make decisions or predictions without being explicitly programmed.",Define machine learning in simple words.,Machine learning allows computers to learn from data and improve performance without being explicitly programmed.,Limit your answer to one concise sentence.,technology
3,qa,"The Pacific Ocean is the largest and deepest of Earth's oceanic divisions, extending from the Arctic Ocean in the north to the Southern Ocean in the south.",Which ocean is the largest and deepest?,Pacific Ocean,Answer in one or two words.,geography
4,reasoning,The Amazon River flows through multiple South American countries before emptying into the Atlantic Ocean. It is known for its massive volume of water discharge.,Which ocean does the Amazon River flow into?,Atlantic Ocean,One-word answer.,geography
5,explanation,"The mitochondria are often referred to as the 'powerhouse of the cell' because they generate ATP, the main energy currency in living organisms.",Explain why mitochondria are called the powerhouse of the cell.,"Mitochondria generate ATP through cellular respiration, providing energy for the cell’s activities.",Explain in 2 lines.,biology
6,qa,"Photosynthesis is the process by which plants convert light energy into chemical energy using chlorophyll, carbon dioxide, and water.",What is the main pigment involved in photosynthesis?,Chlorophyll,Single-word answer only.,biology
7,definition,A variable in programming is a symbolic name associated with a value that can change during program execution.,Define 'variable' in computer programming.,A variable is a symbolic name for a value that can change during a program’s execution.,Concise definition under 25 words.,computer science
8,explanation,"An algorithm is a step-by-step procedure for performing a computation or solving a problem, often used in computer programming.",Explain what an algorithm is and give one simple example.,An algorithm is a sequence of instructions for solving a problem. Example: sorting a list of numbers in ascending order.,Maximum 2 sentences.,computer science
9,reasoning,"If a train travels 60 miles in 1.5 hours, what is its average speed?",Calculate the average speed in mph.,40 mph,Show calculation clearly.,math
10,qa,A rectangle has a length of 12 cm and a width of 5 cm.,What is its area in square centimeters?,60 cm²,Show the formula and computation.,math
